gene,drug_PRL
201639_s_at,21595
201640_x_at,11750
201641_at,9221
201642_at,11688
201643_x_at,10368
201644_at,2034
201645_at,6127
201646_at,722
201647_s_at,5009
201648_at,9583
201649_at,18141
201650_at,11578
201651_s_at,5293
201652_at,17865
201653_at,11233
201654_s_at,6943
201655_s_at,13422
201656_at,11495
201657_at,21273
201658_at,20386
201659_s_at,19631
201660_at,15249
201661_s_at,12305
201662_s_at,16606
201663_s_at,12347
201664_at,17039
201665_x_at,735
201666_at,12473
201667_at,16136
201668_x_at,1181
201669_s_at,16153
201670_s_at,13126
201671_x_at,9669
201672_s_at,12952
201673_s_at,13088
201674_s_at,10605
201675_at,11981
201676_x_at,11551
201677_at,21481
201678_s_at,16923
201679_at,14876
201680_x_at,16352
201681_s_at,18176
201682_at,17701
201683_x_at,4191
201684_s_at,4988
201685_s_at,12968
201686_x_at,3958
201687_s_at,20339
201688_s_at,9820
201689_s_at,21282
201690_s_at,14925
201691_s_at,18582
201692_at,19303
201693_s_at,12827
201694_s_at,15026
201695_s_at,10449
201696_at,17460
201697_s_at,9475
201698_s_at,15831
201699_at,16730
201700_at,15872
201701_s_at,21736
201702_s_at,7733
201703_s_at,22014
201704_at,11889
201705_at,13604
201706_s_at,4664
201707_at,16245
201708_s_at,1755
201709_s_at,9214
201710_at,20944
201711_x_at,14670
201712_s_at,17299
201713_s_at,15785
201714_at,13539
201715_s_at,11563
201716_at,18633
201717_at,15584
201718_s_at,4530
201719_s_at,15723
201720_s_at,2122
201721_s_at,16485
201722_s_at,13538
201723_s_at,8610
201724_s_at,14577
201725_at,9585
201726_at,14328
201727_s_at,3603
201728_s_at,7259
201729_s_at,21148
201730_s_at,19761
201731_s_at,6097
201732_s_at,14978
201733_at,8894
201734_at,14001
201735_s_at,13109
201736_s_at,7001
201737_s_at,21042
201738_at,14439
201739_at,8194
201740_at,10787
201741_x_at,12359
201742_x_at,13146
201743_at,9020
201744_s_at,7312
201745_at,18845
201746_at,5439
201747_s_at,15357
201748_s_at,20465
201749_at,7771
201750_s_at,2265
201751_at,7979
201752_s_at,12066
201753_s_at,21364
201754_at,10515
201755_at,14890
201756_at,14359
201757_at,13729
201758_at,17767
201759_at,7293
201760_s_at,19969
201761_at,13533
201762_s_at,16791
201763_s_at,21141
201764_at,13354
201765_s_at,14356
201766_at,15332
201767_s_at,14293
201768_s_at,15874
201769_at,15377
201770_at,12085
201771_at,19730
201772_at,15292
201773_at,15595
201774_s_at,21611
201775_s_at,15319
201776_s_at,13705
201777_s_at,13366
201778_s_at,19261
201779_s_at,8057
201780_s_at,21294
201781_s_at,12718
201782_s_at,13218
201783_s_at,21959
201784_s_at,19552
201785_at,10681
201786_s_at,21191
201787_at,2022
201788_at,13062
201789_at,8696
201790_s_at,15094
201791_s_at,11439
201792_at,10005
201793_x_at,13453
201794_s_at,12070
201795_at,15563
201796_s_at,10471
201797_s_at,19671
201798_s_at,8029
201799_s_at,15252
201800_s_at,22089
201801_s_at,10438
201802_at,12704
201803_at,18723
201804_x_at,10094
201805_at,18660
201806_s_at,747
201807_at,15220
201808_s_at,2666
201809_s_at,8488
201810_s_at,10546
201811_x_at,6550
201812_s_at,11397
201813_s_at,15760
201814_at,11453
201815_s_at,13021
201816_s_at,8202
201817_at,18798
201818_at,16378
201819_at,16443
201820_at,5334
201821_s_at,7685
201822_at,9600
201823_s_at,19459
201824_at,12751
201825_s_at,13276
201826_s_at,12126
201827_at,18361
201828_x_at,9348
201829_at,12034
201830_s_at,238
201831_s_at,19690
201832_s_at,16746
201833_at,17912
201834_at,12671
201835_s_at,507
201836_s_at,17565
201837_s_at,20367
201838_s_at,9926
201839_s_at,8255
201840_at,10218
201841_s_at,3180
201842_s_at,20769
201843_s_at,20746
201844_s_at,18882
201845_s_at,20945
201846_s_at,7574
201847_at,6932
201848_s_at,15124
201849_at,18488
201850_at,14964
201851_at,18811
201852_x_at,597
201853_s_at,21376
201854_s_at,18088
201855_s_at,19865
201856_s_at,14428
201857_at,18818
201858_s_at,3119
201859_at,594
201860_s_at,18283
201861_s_at,19686
201862_s_at,21789
201863_at,12243
201864_at,6820
201865_x_at,10467
201866_s_at,7780
201867_s_at,8787
201868_s_at,1883
201869_s_at,1061
201870_at,18532
201871_s_at,20821
201872_s_at,12577
201873_s_at,21697
201874_at,14584
201875_s_at,12443
201876_at,17677
201877_s_at,19910
201878_at,17697
201879_at,9159
201880_at,18328
201881_s_at,13120
201882_x_at,3097
201883_s_at,5567
201884_at,5359
201885_s_at,9468
201886_at,11299
201887_at,11531
201888_s_at,20348
201889_at,18548
201890_at,17554
201891_s_at,9015
201892_s_at,5764
201893_x_at,7014
201894_s_at,20290
201895_at,14127
201896_s_at,17468
201897_s_at,2493
201898_s_at,10065
201899_s_at,19040
201900_s_at,4851
201901_s_at,16026
201902_s_at,19878
201903_at,14143
201904_s_at,20825
201905_s_at,19803
201906_s_at,15597
201907_x_at,10889
201908_at,21538
201909_at,8695
201910_at,10012
201911_s_at,20599
201912_s_at,18455
201913_s_at,12699
201914_s_at,19699
201915_at,4993
201916_s_at,17408
201917_s_at,17858
201918_at,3769
201919_at,8576
201920_at,15171
201921_at,11536
201922_at,10737
201923_at,18915
201924_at,17670
